cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
"4-Starred Ladybug of Doom",1,83994646,"Common","M","1st Edition","Pharaoh's Servant","PSV-088"
"7 Colored Fish",1,23771716,"Common","M","Unlimited","Metal Raiders","MRD-098"
"7 Completed",1,86198326,"Common","M","1st Edition","Pharaoh's Servant","PSV-004"
"7 Completed",3,86198326,"Common","M","Unlimited","Pharaoh's Servant","PSV-004"
"8-Claws Scorpion",2,14261867,"Common","M","Unlimited","Pharaonic Guardian","PGD-024"
"A Cat of Ill Omen",3,24140059,"Common","M","Unlimited","Pharaonic Guardian","PGD-070"
"A Feint Plan",4,68170903,"Common","M","Unlimited","Legacy of Darkness","LOD-032"
"A Feint Plan",1,68170903,"Common","M","1st Edition","Legacy of Darkness","LOD-032"
"A Legendary Ocean",2,295517,"Common","M","Unlimited","Legacy of Darkness","LOD-078"
"A Man with Wdjat",3,51351302,"Common","M","Unlimited","Pharaonic Guardian","PGD-068"
"A Man with Wdjat",1,51351302,"Common","M","1st Edition","Pharaonic Guardian","PGD-068"
"A Wingbeat of Giant Dragon",2,28596933,"Common","M","Unlimited","Legacy of Darkness","LOD-044"
"Adhesion Trap Hole",2,62325062,"Common","M","Unlimited","Magician's Force","MFC-050"
"Adhesion Trap Hole",1,62325062,"Common","M","1st Edition","Magician's Force","MFC-050"
"After The Struggle",1,25345186,"Rare","M","Unlimited","Legacy of Darkness","LOD-086"
"After The Struggle",1,25345186,"Rare","M","1st Edition","Legacy of Darkness","LOD-086"
"Aitsu",2,48202661,"Common","M","Unlimited","Magician's Force","MFC-056"
"Amazoness Archer",1,91869203,"Common","M","Unlimited","Labyrinth of Nightmare","LON-032"
"Amazoness Blowpiper",3,73574678,"Common","M","Unlimited","Magician's Force","MFC-062"
"Amazoness Fighter",2,55821894,"Common","M","Unlimited","Magician's Force","MFC-060"
"Amazoness Paladin",1,47480070,"Common","M","1st Edition","Magician's Force","MFC-059"
"Amazoness Paladin",2,47480070,"Common","M","Unlimited","Magician's Force","MFC-059"
"Amazoness Spellcaster",1,81325903,"Common","M","Unlimited","Magician's Force","MFC-084"
"Amazoness Tiger",2,10979723,"Rare","M","Unlimited","Magician's Force","MFC-063"
"Amazoness Tiger",1,10979723,"Rare","M","1st Edition","Magician's Force","MFC-063"
"Ameba",3,95174353,"Rare","M","Unlimited","Magic Ruler","MRL-010"
"Amphibian Beast",1,67371383,"Rare","M","Unlimited","Labyrinth of Nightmare","LON-008"
"An Owl of Luck",5,23927567,"Common","M","Unlimited","Pharaonic Guardian","PGD-073"
"Ancient Brain",3,42431843,"Common","M","Unlimited","Metal Raiders","MRD-082"
"Ancient Elf",1,93221206,"Common","M","1st Edition","Metal Raiders","MRD-037"
"Ancient Elf",3,93221206,"Common","M","Unlimited","Metal Raiders","MRD-037"
"Ancient Lizard Warrior",2,43230671,"Common","M","Unlimited","Metal Raiders","MRD-050"
"Ancient One of the Deep Forest",3,14015067,"Common","M","Unlimited","Magic Ruler","MRL-018"
"Anti-Spell",1,53112492,"Common","M","1st Edition","Magician's Force","MFC-103"
